protocol,inst,seed,rule,model,endpoint,epoch
random,2,1,global-vs-global,STL,CYP3A4_Veith,10
random,2,1,global-vs-global,MTL,Bioavailability_Ma,10
random,2,1,global-vs-global,STL,Bioavailability_Ma,10
random,2,1,endpoint-vs-endpoint,MTL,hERG,10
random,2,1,endpoint-vs-endpoint,STL,hERG,50
random,2,1,endpoint-vs-endpoint,MTL,AMES,10
random,2,1,endpoint-vs-endpoint,STL,AMES,10
random,2,1,endpoint-vs-endpoint,MTL,BBB_Martins,10
random,2,1,endpoint-vs-endpoint,STL,BBB_Martins,10
random,2,1,endpoint-vs-endpoint,MTL,Pgp_Broccatelli,10
random,2,1,endpoint-vs-endpoint,STL,Pgp_Broccatelli,10
random,2,1,endpoint-vs-endpoint,MTL,CYP2C9_Veith,20
random,2,1,endpoint-vs-endpoint,STL,CYP2C9_Veith,10
random,2,1,endpoint-vs-endpoint,MTL,CYP2D6_Veith,20
